id,name,function,safety_level,category,warnings
0196ce17-da38-494a-b85c-ed961044b4a8,DISODIUM PHOSPHATE,Buffering Agent,Safe,pH Adjuster,None
029e2d01-24fe-4efa-9f3f-e951b8d01f80,GENTIANA LUTEA (GENTIAN) ROOT EXTRACT,Skin Conditioning,Safe,Natural Extract,None
03b2e2c2-d1d7-4bf3-b0b4-3211d40dcdad,Sodium Lactate,Skin Conditioning and Buffering Agent,Safe,Humectant,None
050c3870-5a62-4173-b2b4-0abba33b73fd,Water / Eau,Solvent / Diluent,Safe,Base,None
077f7a55-60ab-48eb-a04f-36c679394762,Avena Sativa (Oat) Kernel Extract,Soothing and moisturizing; helps calm irritated skin,Safe,Botanical Extract,Rare allergic reactions possible in those sensitive to oats
07cb553f-beed-4904-bff3-837ea762ff09,SAFFLOWER GLUCOSIDE,Skin Conditioning,Safe,Natural Extract,None
094a874b-b5bf-4aeb-ae72-8f431e2522ae,GLYCERYL LINOLENATE,"Skin Conditioning, Emollient",Safe,Emollient,None
099afdbb-bc95-4e6f-99e0-36cb3a487238,ALPHA-ISOMETHYL IONONE,Fragrance,Allergen,Fragrance,Known allergen; must be listed separately
0d24fbee-4346-4423-bb4d-8ab05b445629,Glyceryl Stearate,Helps blend oil and water; provides smooth texture,Safe,Emulsifier / Emollient,Generally well-tolerated
106983e9-8f44-4c5a-bc51-29637bd0a9a0,Isoamyl Laurate,"Light, non-greasy emollient providing smooth skin feel and spreadability",Safe,Emollient / Texture Enhancer,No known safety concerns
14e7979b-e921-452e-9a2c-e9d80427a6b6,POLYQUATERNIUM-7,"Conditioning Agent, Antistatic",Safe,Conditioning Agent,None
1534a7dc-be2d-410f-9133-5265e341c2a2,Sodium Benzoate,Antimicrobial Agent,Safe,Preservative,May cause irritation at high levels
1665e4fc-e4f7-4223-92c9-f2d3c39e297a,ISOPROPYL ALCOHOL,"Solvent, Antiseptic",Moderate,Solvent,Can be very drying to skin
169cce35-5d76-40b9-8f20-585801d5045b,GLYCERYL LINOLEATE,"Skin Conditioning, Emulsifier",Safe,Emollient,None
18d9ab83-66de-4d7a-94e1-3e4cbd951cd5,Hydroxypropyl Oxidized Starch PG-Trimonium Chloride,Film Former,Safe,Conditioning Polymer,None
1bafdc04-fe5b-4068-af3a-072e52a82756,Lactic Acid,Exfoliant and pH Adjuster,Use with caution,Active,Can cause stinging or sensitivity
1ccc5a00-508e-4793-8d0c-f27b15d2f8f7,Fragrance / Parfum,Fragrance / Masking Agent,Moderate,Fragrance,Can cause allergic reactions or irritation in sensitive individuals
21f96f9d-647e-450b-ab4e-9aadd452d639,Sodium Salicylate,Antimicrobial / Preservative Agent,Moderate,Preservative,Can cause mild irritation in sensitive skin
24884549-8f6d-4f8c-9bec-8e06e4bebfd0,Glycolic Acid,"Chemical exfoliant for improving skin texture, tone, and brightness",Safe with restrictions,Alpha Hydroxy Acid (AHA),"Can cause irritation, redness, or peeling; use sunscreen after application"
253c75e3-c25c-48ba-a105-a76179190c16,Glycerin,Moisturizer,Safe,Humectant,None
27981c61-6f38-4fba-8bed-5eced0caae7d,Linoleic Acid,Skin Conditioning / Emollient,Safe,Fatty Acid,"Generally safe, can oxidize over time"
29a30c41-73c3-4571-8d5b-04020a43e590,Sodium Methyl Cocoyl Taurate,Cleansing Agent,Safe,Surfactant,None
2cc06d45-4a65-45fd-bcb2-c88109efb793,Methylpropanediol,Improves ingredient penetration and moisturization,Safe,Solvent / Humectant,Low irritation risk
31a7a5ac-bc72-4591-8866-d4745081ed43,HEXYL CINNAMAL,Fragrance,Allergen,Fragrance,Known allergen; must be listed separately
31eb9514-ad15-40a1-bd34-9a8937b0c4ba,HYDROXYCITRONELLAL,Fragrance,Allergen,Fragrance,Known allergen; restricted by IFRA
34453959-d113-470c-92af-59f61806dc86,Dimethicone,Skin Protectant,Safe,Emollient,None
3513f180-2dfb-4f07-bcef-9aba64339644,CETEARETH-33,"Emulsifier, Surfactant",Safe,Surfactant,None
35acca77-4f66-49e7-bfb4-b453783d2f9e,Bacopa Monnieri Oil,Antioxidant / Soothing Agent,Safe,Herbal Extract,None
3800efb5-c22a-4df2-bf3d-f74973aa208e,Panthenol,Moisturizing Agent,Safe,Active,None
39b09cce-25e0-44a1-819f-07a32a1726c6,Aqua,Solvent,Safe,Base,None
3a85aeb5-3594-4a35-b64e-86eade46c95b,HYDROXYPROPYLTRIMONIUM HYDROLYZED WHEAT PROTEIN,"Conditioning Agent, Antistatic",Safe,Conditioning Agent,None
3c3d9db7-35e5-4c8a-b1a6-6a84f7bafc92,4-Terpineol,Main antimicrobial component of Tea Tree Oil; used for acne treatment and deodorizing,Safe at low concentrations,Active Component / Terpene Alcohol,Can cause irritation if used undiluted
43907ef6-c2a4-4d7c-a0ce-441b901f95cb,GERANIOL,"Fragrance, Tonic",Allergen,Fragrance,Known allergen; oxidises on air exposure
43ccb034-eade-4245-851e-97e27e3cf722,Fragrance/Parfum,Scent,Moderate,Fragrance,May cause allergy
441e4d21-5461-49c4-a841-e67686e8df72,AMODIMETHICONE,"Antistatic, Hair Conditioning",Safe,Silicone,Can cause buildup on hair
46199a0a-b783-473b-9925-0b6801a54066,Cocamidopropyl Betaine,Foaming Agent,Moderate,Surfactant,May cause irritation
4dbaf759-6c4a-49a4-959f-373e529763f0,Caffeine,Antioxidant,Safe,Active,None
4e2813bb-522a-4034-8f09-69c961a31e48,Salix Alba (Willow) Bark Extract,Natural source of salicylic acid; used for exfoliation and acne control,Safe,Botanical Extract,Avoid use with strong acids or retinoids; may cause mild irritation
4e4c5a23-0d95-454a-a310-2ad5f760180b,TRIDECETH-6,"Surfactant, Emulsifying Agent",Safe,Surfactant,None
4e8a4a97-08e8-421e-944b-99e2b443b631,PEG-55 Propylene Glycol Oleate,Surfactant and Solubilizer,Moderate,Emulsifier,May cause mild irritation in sensitive skin
502587c7-ea75-4df4-af4d-8a66c7d8fc8f,Murraya Koenigii Leaf Oil,Hair Conditioning / Antioxidant,Safe,Essential Oil,Possible mild irritation for sensitive skin
519b8376-7491-48e4-b3cd-9033408eea16,Polyquaternium-76,Antistatic and Film Former,Safe,Conditioning Agent,None
528c1cce-c2f5-422a-9bb7-139db1e013c6,Azadirachta Indica Seed Oil,Antimicrobial / Skin Conditioning,Safe,Herbal Extract,"May have strong odor, rare irritation possible"
54277fa3-b8c8-4ed2-81fd-04745129ea6b,Methylisothiazolinone,Antimicrobial,Unsafe,Preservative,Known allergen
576ffde5-14e6-4647-88b6-7317d2ea79f2,TOCOPHEROL,"Antioxidant (Vitamin E), Skin Conditioning",Safe,Active,None
5a99890f-df3d-4c48-8af2-4047db704a7c,Aloe Barbadensis Leaf Oil,Soothing / Moisturizing,Safe,Natural Extract,None
603a33fe-551a-4707-b913-cf2f7a4f7d9d,BHT,"Antioxidant, Preservative",Moderate,Preservative,Restricted use in some regions; can be irritant
6063457f-6fba-4ce3-8a3a-e042831c4342,Panthenyl Ethyl Ether,Skin and Hair Conditioner,Safe,Conditioning Agent,None
6132474b-a0c6-4701-bef6-4a91e06ba040,Butylphenyl Methylpropional,Masking / Fragrance Agent,Unsafe,Fragrance,Restricted in EU due to allergenic concerns
61c3609b-a376-428b-9e7c-2d430e44fbe4,Sodium Lauryl Sulfoacetate,Foaming and Cleansing Agent,Safe,Surfactant,Less harsh than SLS
62aaaaf7-7577-4d2f-880b-d8ba513adc25,SODIUM PCA,"Humectant, Skin Conditioning",Safe,Humectant,None
6858dd14-6765-4708-9ef2-bf4d2c1f411e,Sodium Chloride,Thickener and Stabilizer,Safe,Viscosity Modifier,Can be drying in high concentrations
6a5b3c5f-8684-402b-aaad-d626862c8264,Trigonella Foenum-Graecum Seed Oil,Hair Conditioning / Anti-inflammatory,Safe,Herbal Extract,None
6a6aeeb4-1cd8-4d96-83b1-2e565a36fd83,Tetrasodium EDTA,Stabilizer and Preservative Enhancer,Safe,Chelating Agent,None
6d4f507f-f695-47d9-84b8-bbb6de97741d,Isopropyl Myristate,Skin Conditioning / Texture Enhancer,Moderate,Emollient,May clog pores or cause acne in sensitive skin
6d63873b-823c-428a-a489-2467f673a300,Sodium Xylenesulfonate,Hydrotrope and Cleansing Aid,Safe,Surfactant,None
6dc44039-f2d3-4296-a422-f2676f2cc284,Helianthus Annuus Seed Oil,Emollient / Skin Conditioning,Safe,Natural Oil,"Generally safe, may cause allergic reaction in sunflower-sensitive individuals"
73b2a118-6108-4c29-b962-79833fc6b243,Cocamide MEA,Foaming and Viscosity Agent,Moderate,Surfactant,Can be irritating in leave-on formulations
78330f6f-3c8c-4b6f-b112-e6efea89d69e,Decyl Glucoside,Mild Cleansing Agent,Safe,Surfactant,Generally non-irritating
7f235e1c-df39-4846-a084-977ec3f09a25,Lauryl Glucoside,Mild non-ionic surfactant used for gentle cleansing and foaming,Safe,Surfactant / Cleansing Agent,Generally well-tolerated; may cause mild irritation in high concentrations
8158eaf4-5330-427f-934c-6bc35a98fba0,Prunus Amygdalus Dulcis Oil,Emollient / Skin Conditioning,Safe,Natural Oil,Avoid if allergic to nuts
829e386b-37b7-49a1-8345-9ba7365a1e5b,Vitis Vinifera Seed Oil,Emollient / Antioxidant,Safe,Natural Oil,None
84d05ad6-b58e-4a65-91c3-8ccc13edd7d5,LAMINARIA DIGITATA EXTRACT,"Skin Conditioning, Soothing Agent",Safe,Natural Extract,None
86683bd1-7412-4e99-89ed-78674522bfb0,Glyceryl Caprylate,Skin-conditioning agent and natural antimicrobial enhancer,Safe,Emollient / Preservative Booster,No known safety issues
88b007b5-ceaa-49fb-96b1-91a6a5f13e57,Caprylyl Glycol,Moisturizing agent and preservative enhancer,Safe,Humectant / Preservative Booster,Generally non-irritating; avoid eye contact
8902ef79-aa1f-41dd-a039-db47aab9017c,Behenetrimonium Chloride,Antistatic,Safe,Conditioning Agent,None
8a739d06-22b9-4933-9d5f-11d556464a33,Arginine Cocoate,Mild Cleanser,Safe,Surfactant,None
93f0646b-7c0f-43db-b36f-f32725cc52cd,Sodium Lauryl Sulfate,Cleansing Agent,Irritant,Surfactant,Avoid for sensitive skin
93f435c8-17e8-47e9-932d-5a8f1160a851,Limonene,Fragrance / Solvent,Moderate,Fragrance,May oxidize and cause allergic reactions in sensitive individuals
97d46043-4079-42ef-99aa-53d61cb5c237,Propylene Glycol,Moisturizer and Solvent,Safe,Humectant,May cause irritation in sensitive individuals
9905664b-4598-4850-b781-9503e8541917,Laminaria Saccharina Extract,Soothing Agent,Safe,Natural Extract,None
99d27bf0-4c20-4548-8ff2-9b5e6a2ef526,Salicylic Acid,Exfoliant,Use with caution,Active,Can irritate sensitive skin
9b20a8b7-f2ea-4228-9d98-b48d64a121e1,Ricinus Communis Seed Oil,Emollient / Hair Conditioning,Safe,Natural Oil,"Generally safe, may cause irritation if oxidized"
9b999309-9032-4486-9b6c-af263a37af88,Disodium Laureth Sulfosuccinate,Gentle Cleansing Agent,Safe,Surfactant,Low irritation potential
9cf3c502-b284-47ef-be8c-377ab21a31c3,Phenoxyethanol,Antimicrobial,Moderate,Preservative,Limit <1% recommended
9d49eaeb-3319-4b15-ac42-38b5a9894d38,Peat Extract,Skin-conditioning and antioxidant properties; often used in detoxifying formulations,Safe,Botanical Extract,Avoid use on open wounds; patch test recommended
9d60dffc-dc3b-4aed-88af-94ab9a123c09,LINALOOL,Fragrance,Allergen,Fragrance,Known allergen; must be listed separately
9ff46b1a-3e33-4763-8d6e-5c3b850a3016,Retinyl Palmitate,Skin Conditioning / Anti-aging,Moderate,Vitamin Derivative,"Can increase sun sensitivity, not recommended during pregnancy"
a211104e-2e37-4bde-b3ef-4abac55c28c0,OCTYLDODECANOL,"Emollient, Solvent",Safe,Emollient,None
a2b8a20a-d78b-4ec0-b607-ce9a5af291c1,Benzoic Acid,Prevents microbial growth in formulations,Safe with restrictions,Preservative,Avoid use on broken skin; may cause mild irritation
a3903dba-b920-4233-b247-4de0c1f711e9,Triethyl Citrate,Used to stabilize emulsions and reduce odor-causing bacteria,Safe,Stabilizer / Deodorizing Agent,Non-toxic; generally well-tolerated
a52ca9f4-4b3b-43ab-b3e6-2305f98de023,Water/Aqua/Eau,Solvent,Safe,Base,None
a602b299-3ef9-436e-9055-d1389e6e226a,HYDROXYPROPYL GUAR,"Thickening Agent, Film-Forming",Safe,Viscosity Modifier,None
aa5be67e-2977-4034-985c-2c40ce1774ea,IRIS FLORENTINA ROOT EXTRACT,"Skin Conditioning, Astringent",Safe,Natural Extract,None
b1acfaeb-a5fc-43c6-881e-8be20c282857,PEG/PPG-18/18 Dimethicone,Texture Enhancer,Moderate,Emollient,May cause buildup
b1c25115-971e-4c26-b49f-4550e6fe6374,CHLOROXYLENOL,"Antimicrobial, Preservative",Moderate,Preservative,Restricted use; can be an irritant
b1f1c216-d332-43b1-b101-67b4986b4846,BENZYL ALCOHOL,"Preservative, Solvent, Fragrance",Allergen,Preservative,Known allergen; restricted concentration
b36eeb60-150c-451b-9a1f-c9cb86d55b6c,Citrus Aurantium Dulcis Juice,Skin Conditioning / Fragrance,Safe,Natural Extract,May cause irritation for citrus-sensitive users
b37b5e7f-7d2c-4a69-9500-a47a4cf05361,Vitamin E,Antioxidant / Skin Conditioning,Safe,Vitamin,"Generally safe, may cause irritation in very high concentrations"
b46879bc-2307-4978-8ded-5b09bcc02606,CETRIMONIUM CHLORIDE,"Antistatic, Preservative, Emulsifier",Safe,Conditioning Agent,Can be irritating in high concentrations
b8d39374-9c98-4f8d-aa53-14942defaf3c,TinogardÂ® TT,UV Stabilizer / Preservative,Safe,Synthetic Antioxidant,None
bd608092-80ce-493f-b0e9-f95309d5351a,Coco-Glucoside,Mild cleanser and foaming agent derived from coconut and glucose,Safe,Surfactant / Emulsifier,Rare irritation possible in sensitive individuals
bf196d24-5515-44e1-bfbc-0d57c4ad1363,CITRONELLOL,"Fragrance, Antimicrobial",Allergen,Fragrance,Known allergen; must be listed separately
c03e74d5-e787-45b3-8229-a00f5b521a00,Phyllanthus Emblica Fruit Extract,Antioxidant / Brightening,Safe,Natural Extract,May cause irritation in very sensitive skin
c19fcac5-6e72-4a15-952b-b73f568ced64,Potassium Sorbate,Inhibits growth of mold and yeast,Safe,Preservative,May cause mild irritation at high concentrations
c2320f3e-f611-4f47-8daa-fd326e5c6a90,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,"Provides viscosity, stability, and gel texture to formulations",Safe,Polymer / Thickening Agent,Non-irritating; avoid inhalation of powder form
c7f558b7-bbde-4ba9-8198-52216d83b0e9,Citric Acid,Buffering and Exfoliating Agent,Safe,pH Adjuster,May cause mild stinging on damaged skin
cdbc5e18-8087-445a-8173-d5bdaaded0a5,Glycol Distearate,Pearlizing and Thickening Agent,Safe,Emollient,None
ceb2e202-3875-46c4-b9a6-583cfca4ca38,PPG-6-DECYLTETRADECETH-30,"Surfactant, Emulsifying Agent",Moderate,Surfactant,None
d073dfb9-772e-4872-bf6f-408cff88cf33,Sodium Hyaluronate,Moisturizer,Safe,Active,None
d5998f25-7a10-4453-a249-fe11569eca78,Disodium EDTA,Stabilizer,Safe,Chelating Agent,None
d8fef0ce-94a8-4a5e-826a-bd660a6cdbe3,Sucrose,Moisturizer,Safe,Humectant,None
d990f61c-dbf8-4a55-84fd-81d0c629d539,Parfum,Scent,Moderate,Fragrance,May cause allergy or irritation
dd1dfab4-27a6-4802-af6d-3c98c60e2657,Butylene Glycol,Humectant,Safe,Solvent,None
e1ab35dd-18e9-4037-8369-3ce0a7f5dd7a,Cetearyl Alcohol,Thickener,Safe,Emollient,None
e1e70c94-9a59-4782-8313-fa9b03464043,Eclipta Alba,Hair Conditioning / Antioxidant,Safe,Plant Extract,None
e21ce730-79ed-4b3e-89a7-c47bf727ccbc,Pyrus Malus Juice,Antioxidant / Skin Conditioning,Safe,Natural Extract,None
e289f6db-82c0-4882-9fc6-d3e4d5aac35c,Acetyl Glucosamine,Skin Conditioning,Safe,Active,None
e40a2760-6963-4b18-824e-e5fcaa82ec77,CETYL ALCOHOL,"Emollient, Viscosity Controlling",Safe,Emollient,Low comedogenicity rating
e71878ef-0f6b-4afd-966f-b6a706309be8,Sodium Phytate,Stabilizes formulations by binding metal ions and prevents oxidation or discoloration,Safe,Chelating Agent / Antioxidant,Generally well-tolerated; avoid high concentrations that may affect product stability
e7b0a42f-2882-45ec-91ba-95182e3a9c89,FRAGRANCE / PARFUM,Fragrance / Masking Agent,Moderate,Fragrance,Can cause allergic reactions or irritation in sensitive individuals
e7b2d574-3047-4e75-8aec-7d3a24ac5cd3,Cocos Nucifera Oil,Emollient / Moisturizer,Safe,Natural Oil,Comedogenic for acne-prone skin
eaf44a83-9fa6-4082-974b-5119f4791b06,Rosmarinus Officinalis Leaf Oil Extract,Antioxidant / Fragrance / Antimicrobial,Safe,Essential Oil,May cause irritation in sensitive individuals
eb5a5f0f-beab-4b87-bdbc-11f7e5db3724,Salix Alba Bark Extract,"Natural source of salicylic acid; used for exfoliation, soothing, and acne control",Safe,Botanical Extract,Avoid use with strong acids or retinoids; may cause mild irritation
ed7ad0f6-7c00-46d1-9a03-d00fbe6fa641,SODIUM HYDROXIDE,pH Adjuster,Use with caution,pH Adjuster,Caustic in high concentration; safe as adjuster
ed85662e-fb85-47df-8bcd-4ad1b021709c,COUMARIN,Fragrance,Allergen,Fragrance,Known allergen; restricted use
f36e3c9c-3036-4bae-a1d7-2e24261aac2f,Methylchloroisothiazolinone,Antimicrobial,Unsafe,Preservative,Strong allergen; restricted in many countries
f397bd24-c744-48f2-9712-59f65b5d748e,GLYCERYL OLEATE,"Emulsifying, Skin Conditioning",Safe,Emollient,Generally recognized as safe (GRAS)
f3dc5faf-e79b-4316-abb3-502a8b93e71e,Avena Sativa Kernel Extract,Soothing and moisturizing extract that helps calm irritated or sensitive skin,Safe,Botanical Extract,Rare allergic reactions possible in those sensitive to oats
f4122e98-1c0e-4fc4-8db9-5f25ff9215b1,Sodium Laureth Sulfate,Foaming Agent,Irritant,Surfactant,Avoid for sensitive skin
f56299c2-80db-447b-a32f-8102050045c7,WATER / EAU,Solvent / Diluent,Safe,Base,None
f7ae1ab7-10dd-4a85-8fda-6493b95bffff,DI-C12-18 ALKYL DIMONIUM CHLORIDE,"Hair Conditioning, Skin Conditioning",Safe,Conditioning Agent,None
fc1b61cd-74b1-499b-beab-fb948a43c7ff,Sodium Citrate,Buffering Agent,Safe,pH Adjuster,None